,Rank,Year,Movie,WorldwideBox Office,DomesticBox Office,InternationalBox Office
253,256,2007,National Treasure: Book of Secrets,457325804,219961501,237364303
254,257,2003,The Last Samurai,456810575,111110575,345700000
255,258,2015,San Andreas,456258539,155190832,301067707
256,259,2007,300,454161935,210614939,243546996
257,260,2018,Wo Bi Shi Yao Shen,451183392,6752,451176640
258,261,2001,Ocean's Eleven,450728529,183417150,267311379
259,262,2012,Django Unchained,449841566,162805434,287036132
260,263,2011,Thor,449326618,181030624,268295994
261,264,2001,Pearl Harbor,449239853,198539855,250699998
262,265,1999,Tarzan,448191819,171091819,277100000
263,266,2019,The Secret Life of Pets 2,446273015,158874395,287398620
264,267,2016,La La Land,445607848,151101803,294506045
265,268,2007,The Bourne Ultimatum,444043396,227471070,216572326
266,269,2009,Alvin and the Chipmunks: The Squeakquel,443483213,219614612,223868601
267,270,2002,Men in Black 2,441767803,190418803,251349000
268,271,1993,Mrs. Doubtfire,441286003,219195051,222090952
269,272,2016,Warcraft,438899824,47365290,391534534
270,273,1991,Beauty and the Beast,438656843,206333165,232323678
271,274,2012,Les MisÃ©rables,438420442,148809770,289610672
272,275,2001,The Mummy Returns,435040395,202007640,233032755
273,276,2017,The Greatest Showman,434473253,174340174,260133079
274,277,2020,Wo He Wo De Jia Xiang,433241288,nan,433241288
275,278,2003,Terminator 3: Rise of the Machines,433058296,150358296,282700000
276,279,1990,Pretty Woman,432566361,178406268,254160093
277,280,2015,Terminator: Genisys,432150894,89760956,342389938
278,281,2019,PokÃ©mon: Detective Pikachu,431947558,144105346,287842212
279,282,2002,Die Another Day,431942139,160942139,271000000
280,283,2018,A Star is Born,431870523,215288866,216581657
281,284,2010,The Kingâs Speech,430821168,138797449,292023719
282,285,1973,The Exorcist,428214478,230347346,197867132
283,286,2018,Rampage,427947217,101028233,326918984
284,287,2003,The Matrix Revolutions,427300260,139270910,288029350
285,288,2000,Cast Away,427230516,233632142,193598374
286,289,2020,Bad Boys For Life,424536881,204417855,220119026
287,290,1990,Dances with Wolves,424208805,184208842,239999963
288,291,2010,The Chronicles of Narnia: The Voyage …,418186950,104386950,313800000
289,292,2019,Zhongguo jizhang,417850370,706572,417143798
290,293,2008,The Chronicles of Narnia: Prince Caspian,417341288,141621490,275719798
291,294,2013,The Wolverine,416456852,132556852,283900000
292,295,1999,The Mummy,416385488,155385488,261000000
293,296,2016,Jason Bourne,416168316,162192920,253975396
294,297,2008,Sex and the City,415247258,152647258,262600000
295,298,1988,Rain Man,412800000,172825435,239974565
296,299,1989,Batman,411348924,251188924,160160000
297,300,2013,Pacific Rim,411002906,101802906,309200000
298,302,2017,The Mummy,409953905,80101125,329852780
299,303,2017,Kingsman: The Golden Circle,408803696,100234838,308568858
300,304,2002,Signs,408250578,227969295,180281283
301,305,2003,X-Men 2,406348630,214949694,191398936
302,306,2008,The Mummy: Tomb of the Dragon Emperor,405760225,102491776,303268449
303,307,2015,Kingsman: The Secret Service,404561724,128261724,276300000
304,308,2012,Prometheus,402448265,126477084,275971181
305,309,2008,Twilight,402280159,192769854,209510305
306,310,2009,Night at the Museum: Battle of the Sm…,402231063,177243721,224987342
307,311,2016,Ice Age: Collision Course,402156682,64063008,338093674
308,312,2019,Alita: Battle Angel,401900040,85838210,316061830
309,313,2012,Snow White and the Huntsman,401021746,155136755,245884991
310,314,2010,Tron: Legacy,399866199,172062763,227803436
311,315,2006,Mission: Impossible III,399387745,133501348,265886397
312,316,2018,Mamma Mia: Here We Go Again!,394201159,120634935,273566224
313,317,2018,Solo: A Star Wars Story,393151347,213767512,179383835
314,318,2006,Superman Returns,391081192,200120000,190961192
315,319,1939,Gone with the Wind,390525192,198680470,191844722
316,320,1991,Robin Hood: Prince of Thieves,390500000,165493908,225006092
317,321,2013,The Wolf of Wall Street,389918903,116949183,272969720
318,322,1978,Grease,387483897,181813770,205670127
319,323,2009,Star Trek,386839614,257730019,129109595
320,324,2002,Ice Age,386116343,176387405,209728938
321,325,2015,Home,385997896,177397510,208600386
322,326,1985,Back to the Future,385510205,212259762,173250443
323,327,2006,Happy Feet,385000317,198000317,187000000
324,328,2016,Independence Day: Resurgence,384169424,103144286,281025138
325,329,2008,Slumdog Millionaire,383825427,141330703,242494724
326,330,2001,Sen to Chihiro no Kamikakushi,383686091,10049886,373636205
327,331,2017,Cars 3,383541369,152901115,230640254
328,332,2019,Godzilla: King of the Monsters,383299915,110500138,272799777
329,333,2007,Live Free or Die Hard,382288147,134529403,247758744
330,334,2009,Monsters vs. Aliens,381687380,198351526,183335854
331,335,2017,Fifty Shades Darker,381367046,114434010,266933036
332,336,2012,Hotel Transylvania,378659142,148313048,230346094
333,337,2012,Taken 2,377807404,139854287,237953117
334,338,2019,Once Upon a Timeâ¦in Hollywood,377562039,142502728,235059311
335,339,1998,Godzilla,376000000,136314294,239685706
336,340,2013,G.I. Joe: Retaliation,375740705,122523060,253217645
337,341,2018,Spider-Man: Into The Spider-Verse 3D,375654619,190173195,185481424
338,342,2002,My Big Fat Greek Wedding,374890034,241438208,133451826
339,343,2009,X-Men Origins: Wolverine,374825760,179883157,194942603
340,344,2000,What Women Want,374105123,182805123,191300000
341,345,2011,The Adventures of Tintin,373993951,77591831,296402120
342,346,2018,Fifty Shades Freed,371985018,100407760,271577258
343,347,2004,Shark Tale,371741123,161412000,210329123
344,348,2011,Captain America: The First Avenger,370569776,176654505,193915271
345,349,1998,There's Something About Mary,369884651,176484651,193400000
346,350,2015,Mad Max: Fury Road,367457874,153636354,213821520
347,351,1981,Raiders of the Lost Ark,367452079,225686079,141766000
348,352,2007,The Golden Compass,367262558,70107728,297154830
349,353,2014,Gone Girl,367160781,167767189,199393592
350,354,2014,Edge of Tomorrow,367028980,100206256,266822724
351,355,2018,Xi Hong Shi Shou Fu,366961920,nan,366961920
352,356,2014,Penguins of Madagascar,366942531,83350911,283591620
353,357,2005,Hitch,366784257,177784257,189000000
354,358,2019,1917,366614721,159227644,207387077
355,359,1995,Die Hard: With a Vengeance,366101666,100012499,266089167
356,360,2001,Jurassic Park III,365900000,181166115,184733885
357,361,2009,Terminator Salvation,365491792,125322469,240169323
358,362,1994,True Lies,365300000,146282411,219017589
359,363,1995,Toy Story,365270951,192523233,172747718
360,364,1999,Notting Hill,363718196,116089678,247628518
361,365,2019,Shazam!,363664533,140371656,223292877
362,366,2018,The Nun,363391647,117450119,245941528
363,367,1998,A Bug's Life,363095319,162798565,200296754
364,368,2004,Ocean's Twelve,362989076,125531634,237457442
365,369,2007,Alvin and the Chipmunks,362605033,217326974,145278059
366,370,2001,Planet of the Apes,362211740,180011740,182200000
367,371,2013,The Hangover 3,362000072,112200072,249800000
368,372,2020,Tenet,361875852,57929000,303946852
369,373,1999,The World is Not Enough,361730660,126930660,234800000
370,374,2018,Zhuo yao ji 2,361683815,706153,360977662
371,375,2009,Fast & Furious,359347833,155064265,204283568
372,376,2015,Zhuo yao ji,359295591,32766,359262825
373,377,2005,Batman Begins,359004502,205343774,153660728
374,378,1992,Home Alone 2: Lost in New York,358994850,173585516,185409334
375,379,2002,Minority Report,358824714,132024714,226800000
376,380,1994,The Flintstones,358500000,130531208,227968792
377,381,2016,Kimi no na wa,357065738,5000181,352065557
378,382,1986,Top Gun,357011945,180012912,176999033
379,383,1995,Goldeneye,356429941,106429941,250000000
380,384,1999,American Beauty,356258047,130058047,226200000
381,385,2000,Dinosaur,356148063,137748063,218400000
382,386,2002,Catch Me if You Can,355612291,164606800,191005491
383,387,2011,X-Men: First Class,355408305,146408305,209000000
384,388,2014,Night at the Museum: Secret of the Tomb,353756621,113746621,240010000
385,389,1993,The Fugitive,353715317,183875760,169839557
386,390,2013,The Great Gatsby,353640419,144840419,208800000
387,391,2019,Dumbo,353166307,114766307,238400000
388,392,2014,Noah,352831065,101200044,251631021
389,393,1992,Basic Instinct,352700000,117727224,234972776
390,394,2016,The Angry Birds Movie,352327887,107509366,244818521
391,395,2021,Black Widow,352277006,175777006,176500000
392,396,2010,The Karate Kid,351774938,176591618,175183320
393,397,2017,Murder on the Orient Express,351767147,102826543,248940604
394,398,1994,The Mask,351620129,119920129,231700000
